Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789976735,50,,Aggregated,34.800000,0.000000,16,22,28,35,170,2800,5300,6200,8200,8400,8400,1148,0,16,338.285628994365,3.8168749888427556,8366.166791005526,5933.644599303136
1789976736,50,,Aggregated,37.500000,0.000000,16,21,28,34,130,2700,5100,6200,8200,8400,8400,1202,0,16,324.72201452283315,3.8168749888427556,8366.166791005526,5926.840266222962
1789976737,50,,Aggregated,37.900000,0.000000,16,21,27,33,130,2700,5100,6200,8200,8400,8400,1242,0,16,315.742939106654,3.8168749888427556,8366.166791005526,5929.665861513688
1789976738,50,,Aggregated,37.800000,0.000000,16,21,27,32,110,2600,5000,6200,8200,8400,8400,1280,0,16,306.94540640970445,3.8168749888427556,8366.166791005526,5902.4921875
1789976739,50,,Aggregated,38.600000,0.000000,16,21,27,32,100,2500,4800,5800,8200,8400,8400,1311,0,16,300.11076493394575,3.8168749888427556,8366.166791005526,5897.294431731502
1789976740,50,,Aggregated,37.900000,0.000000,16,21,26,32,97,2400,4600,5800,8200,8400,8400,1351,0,16,292.5282916015612,3.8168749888427556,8366.166791005526,5880.222057735011
1789976741,50,,Aggregated,38.600000,0.000000,16,21,26,31,97,2300,4600,5800,8200,8400,8400,1380,0,16,288.3941353534085,3.8168749888427556,8366.166791005526,5851.759420289855
1789976742,50,,Aggregated,38.000000,0.000000,16,21,26,31,89,2200,4600,5600,8200,8400,8400,1426,0,16,279.6111673334738,3.8168749888427556,8366.166791005526,5872.136746143057
1789976743,50,,Aggregated,39.300000,0.000000,16,21,26,30,87,2200,4500,5600,8200,8400,8400,1456,0,16,274.9743442908876,3.8168749888427556,8366.166791005526,5982.7795329670325
1789976744,50,,Aggregated,38.100000,0.000000,16,20,25,30,85,2100,4500,5600,8200,8400,8400,1496,0,16,267.9908131929376,3.8168749888427556,8366.166791005526,6086.852272727273
1789976745,50,,Aggregated,40.000000,0.000000,16,20,25,30,83,1800,4400,5400,8200,8400,8400,1528,0,15,263.5003965906768,3.8168749888427556,8366.166791005526,6073.681282722513
1789976746,50,,Aggregated,38.100000,0.000000,15,20,25,29,76,1700,4300,5400,8200,8400,8400,1581,0,15,256.64980183228124,3.8168749888427556,8366.166791005526,6199.2283364958885
1789976747,50,,Aggregated,37.500000,0.000000,15,20,24,28,73,1600,4300,5400,8200,8400,8400,1616,0,15,251.46231378269,3.8168749888427556,8366.166791005526,6194.006188118812
1789976748,50,,Aggregated,37.000000,0.000000,15,20,24,28,68,1500,4300,5400,8200,8400,8400,1663,0,15,244.79838364114408,3.8168749888427556,8366.166791005526,6154.215273601924
1789976749,50,,Aggregated,38.200000,0.000000,15,20,24,28,66,1400,4300,5400,8200,8400,8400,1707,0,15,239.68877440496328,3.8168749888427556,8366.166791005526,6159.752782659637
1789976750,50,,Aggregated,37.300000,0.000000,15,20,24,28,62,1400,4300,5400,8200,8400,8400,1731,0,15,236.5955186979942,3.8168749888427556,8366.166791005526,6138.343731946851
1789976751,50,,Aggregated,38.200000,0.000000,15,20,24,28,61,1300,4300,5400,8200,8400,8400,1767,0,15,233.42101444950382,3.8168749888427556,8366.166791005526,6117.456706281833
1789976752,50,,Aggregated,39.600000,0.000000,15,20,24,27,57,1300,4300,5400,8200,8400,8400,1799,0,15,229.5339445260549,3.8168749888427556,8366.166791005526,6106.992217898833
1789976753,50,,Aggregated,37.700000,0.000000,15,20,24,28,61,1300,3900,5300,8200,8400,8400,1840,0,15,226.36799856928005,3.8168749888427556,8366.166791005526,6232.219021739131
1789976754,50,,Aggregated,38.200000,0.000000,15,20,24,28,57,1300,3800,5300,8200,8400,8400,1871,0,15,223.0344264840116,3.8168749888427556,8366.166791005526,6217.809727418493
1789976755,50,,Aggregated,37.200000,0.000000,15,20,24,28,56,1200,3700,5300,8200,8400,8400,1905,0,15,219.9764639713613,3.8168749888427556,8366.166791005526,6206.348031496063
1789976756,50,,Aggregated,37.900000,0.000000,15,20,24,28,55,1200,3700,5300,8200,8400,8400,1950,0,15,215.32763944067156,3.8168749888427556,8366.166791005526,6315.651282051282
1789976757,50,,Aggregated,37.400000,0.000000,15,20,24,28,53,1200,3600,5300,8200,8400,8400,1975,0,15,212.85848413078304,3.8168749888427556,8366.166791005526,6299.865316455696
1789976758,50,,Aggregated,37.700000,0.000000,15,20,24,28,51,1200,3600,5300,7800,8400,8400,2027,0,15,207.92916222070227,3.8168749888427556,8366.166791005526,6300.518993586581
1789976759,50,,Aggregated,36.500000,0.000000,15,20,24,28,50,1200,3600,5300,7800,8400,8400,2059,0,15,205.5324310492084,3.8168749888427556,8366.166791005526,6413.164157357941
1789976761,50,,Aggregated,35.900000,0.000000,15,20,24,27,49,1200,3600,5300,7800,8400,8400,2108,0,15,201.6359154550892,3.8168749888427556,8366.166791005526,6420.853415559773
1789976762,50,,Aggregated,35.000000,0.000000,15,20,24,27,49,1200,3600,5300,7800,8400,8400,2145,0,15,199.07999533149336,3.8168749888427556,8366.166791005526,6439.328205128205
1789976763,50,,Aggregated,35.000000,0.000000,15,20,24,27,49,1200,3400,5300,7800,8400,8400,2189,0,15,196.53492819545187,3.8168749888427556,8366.166791005526,6423.981726815898
1789976764,50,,Aggregated,37.700000,0.000000,15,20,24,27,48,1200,3400,5300,7800,8400,8400,2225,0,15,193.67360845689527,3.8168749888427556,8366.166791005526,6406.87011235955
1789976765,50,,Aggregated,37.700000,0.000000,15,20,24,27,47,1200,3300,5300,7800,8400,8400,2261,0,15,190.8797908286059,3.8168749888427556,8366.166791005526,6392.246793454224
1789976766,50,,Aggregated,39.000000,0.000000,15,20,24,27,47,1200,3300,5100,7800,8400,8400,2302,0,15,188.80017333728023,3.8168749888427556,8366.166791005526,6395.660729800174
